,username,tweets_num,avg_tweet_len,avg_sentiment,avg_mentions,avg_replies,avg_retweets,avg_likes,avg_hashtags,community
76,adalucja,159,77.46540880503144,0.07756813417190775,0.6855345911949685,0.050314465408805034,11638.698113207547,0.14465408805031446,0.4025157232704403,0
77,vegemagda,533,75.23076923076923,0.124765478424015,0.19324577861163228,0.5928705440900562,20.23827392120075,1.9831144465290806,0.0600375234521576,0
78,agnieszkadrzew7,19,67.0,0.0,0.10526315789473684,0.05263157894736842,0.0,0.47368421052631576,0.3157894736842105,0
79,wiciowiec,49,89.87755102040816,0.044217687074829926,0.46938775510204084,0.16326530612244897,11737.816326530612,0.4489795918367347,0.12244897959183673,0
80,magdalenkal10,398,103.18090452261306,0.062479061976549406,0.30904522613065327,0.5326633165829145,63.86683417085427,1.7035175879396984,0.08793969849246232,0
81,katarzy16344235,17,98.6470588235294,0.11764705882352941,0.5882352941176471,0.11764705882352941,47.64705882352941,0.5882352941176471,0.17647058823529413,0
82,mail_maja,2,146.0,0.5,1.0,0.0,382.0,0.5,1.5,0
83,blackstar_prime,14,81.85714285714286,0.14285714285714285,0.21428571428571427,0.35714285714285715,99.71428571428571,1.3571428571428572,0.35714285714285715,0
84,grzelinskma,403,106.38461538461539,0.11331679073614559,0.14392059553349876,0.8560794044665012,28.0,6.337468982630273,0.019851116625310174,0
85,so_lauvly,131,69.01526717557252,0.15776081424936386,0.2748091603053435,0.1450381679389313,1004.8549618320611,0.5190839694656488,0.12213740458015267,0
86,p_fimmel,1318,62.03338391502276,0.08390237733940314,0.11684370257966616,0.5128983308042488,2049.8748103186645,1.4628224582701062,0.051593323216995446,0
87,szanonn,2,97.0,0.5,1.0,0.0,137.0,0.0,1.5,0
88,purplesarang,432,81.97685185185185,0.14467592592592596,0.13425925925925927,1.4027777777777777,6812.111111111111,88.75925925925925,0.04398148148148148,0
89,wt21726775,102,103.02941176470588,0.07189542483660132,0.9411764705882353,0.13725490196078433,272.1666666666667,0.5196078431372549,0.10784313725490197,0
90,hobiforlife,471,89.04246284501062,0.16702052370842183,0.15286624203821655,0.3842887473460722,1312.3545647558387,2.522292993630573,0.06157112526539278,0
91,grzegor02051738,1923,124.13572542901716,0.006846940544288437,1.328133125325013,0.0005200208008320333,100.62714508580343,0.0005200208008320333,0.17108684347373895,0
92,andrju_s,2530,123.499604743083,0.02173913043478261,1.257707509881423,0.0007905138339920949,101.80395256916997,0.0015810276679841897,0.12727272727272726,0
93,ewadobrzynska,1,152.0,1.0,1.0,0.0,0.0,0.0,3.0,0
94,joannabak31,490,91.93061224489796,0.06360544217687075,0.05918367346938776,0.4489795918367347,9.771428571428572,1.863265306122449,0.0326530612244898,0
95,messy_no_one,26,96.0,0.20512820512820512,0.4230769230769231,0.3076923076923077,779.2307692307693,0.3076923076923077,0.34615384615384615,0
96,yellloww76,40,68.9,-0.03333333333333334,0.5,0.025,243.2,0.15,0.35,0
97,aniawiktoria7,32,87.15625,0.125,0.40625,0.25,200.0625,0.875,0.9375,0
98,mari00835841,786,131.2417302798982,0.05072094995759118,1.0432569974554708,0.12468193384223919,48.159033078880405,0.4770992366412214,0.09796437659033079,0
99,beatax088,2429,122.55166735282009,0.019473034170440516,1.2853025936599423,0.012762453684643887,200.4293948126801,0.043227665706051875,0.09880609304240429,0
100,jdbtwerks,128,112.5859375,0.015364583333333333,0.546875,0.1328125,1078.71875,0.1328125,0.15625,0
101,anna36084778,186,126.56989247311827,-0.0035842293906810005,1.032258064516129,0.043010752688172046,227.81182795698925,0.24193548387096775,0.14516129032258066,0
102,zkvna,12,115.91666666666667,-0.08333333333333333,0.5833333333333334,0.08333333333333333,591.0,1.25,1.3333333333333333,0
103,beata11ann,396,108.92171717171718,0.06691919191919192,0.7954545454545454,0.15151515151515152,66.0959595959596,0.7297979797979798,0.32575757575757575,0
